1,won He has Giro the Italian Vuelta Spanish race the Tours cycling French other Grand 
5,inherited Nibali won who has role the has Vuelta Spanish 2010 favorite d'Italia Giro 2013 
9,Launch > >> won Italian The has tests two d'Italia the 2013 finished third 2012 the nicknamed Shark the other three-week Vuelta Espana a Giro Tour 2010 
11,looks race the Nibali won who way his enters day its has already Vuelta Spanish winning Tour his first rest Giro Italian weeks two under just go to first 
12,said underestimate You he adding lost that should never anyone he Vuelta Espana a year last Horner the largely neglecting take to American Chris approach that 
13,made I was that mistake once it Vuelta year last Chris won Horner 
15,see withdrawal Contador could refocus him Vuelta Espana a begins which Jerez August 23 
15,expressed Contador disappointment abandoned when did Briton the Froome likewise Monday hinting participation his Kenya-born own possible Vuelta 
15,Recover @albertocontador well I hope see to you Vuelta 
16,concerning Cookson UCI was defensive the table a violation a Menchov Denis rider a President Brian speaking reporters announcement an doping-violation site its Russian former won who Tuesday change a Web weekend the Giro the little-noticed Italian once Vuelta Spanish twice 
17,won Nibali has already Espana the 2010 year the Giro last 
