0,player Gonzalez became the 12th active RBIs 1,000 hit when he homer his pavilion the 85th Teheran _s pitch final 10th season the field left Kendrick Howie _s one-out single fifth the 
0,gave 4-2 up runs eight hits 10 two-time the innings 4 defending champions NL 1-3 West won who have four five swept getting series a margin a three-game Francisco San combined 10-0 
0,said inning It was one bad 
1,gave Teheran 4-2 up runs eight hits 10 two-time the innings 4 defending champions NL 1-3 West won who have four five swept getting series a margin a three-game Francisco San combined 10-0 
2,throws Teheran Julio plate the 
2,player Gonzalez became the 12th active RBIs 1,000 hit when he homer his pavilion the 85th Teheran _s pitch final 10th season the field left Kendrick Howie _s one-out single fifth the 
2,gave 4-2 up runs eight hits 10 two-time the innings 4 defending champions NL 1-3 West won who have four five swept getting series a margin a three-game Francisco San combined 10-0 
2,said inning It was one bad 
4,pitched Stults 35 Braves the Tuesday relief Teheran Julio 
5,gave Teheran 4-2 up runs eight hits 10 two-time the innings 4 defending champions NL 1-3 West won who have four five swept getting series a margin a three-game Francisco San combined 10-0 
5,said inning It was one bad 
5,player Gonzalez Adrian became the 12th active RBIs 1,000 hit when he homer his pavilion the 85th Kendrick _s pitch final 10th season the field left one-out single fifth the 
7,smacked Gonzalez went who pitch a 0-1 Braves Teheran Julio seats the left player to 1-for-3 RBIs two become the 12th active reach to milestone the RBI 
7,lasted 4-2 innings 4 1_3 just knocked around runs eight hits 10 three walks strikeout a intentional one 
7,coasted innings the trouble little nailed Dodgers the first three him runs six inning an break to fourth the open contest the high season a them 
