0,face case Australian Depp Getty could sentence a dog-smuggling Images Johnny hefty prison 
0,face Depp Johnny could sentence a case dog-smuggling hefty prison 
0,seems Kempin Jason still dogged to sending pups his Images _ continues #WarOnTerrier Depp Johnny be case his back U.S. the flap a month this Getty face actor Down triple-digit serious very quarantine customs could time jail fine Under Depp Johnny 
0,lambasted ago weeks Nearly Minister Joyce Agriculture publicly Depp accused him two Barnaby flying dogs toy the Queensland jet his private April _s that returned when star the country the having surgery film hand his 
0,face star The could years 10 goes if Mortdecai prison fine a case the court to hearing a maximum dol 263,296 Senate committee Canberra Tuesday dol 340,000 dollars 
2,face Staff THR pm 5_26_2015 5:08 could up years 10 bringing allegedly Depp PDT prison an dogs his Pistol Boo country the clearance the to Herald the Johnny two proper Sydney Morning 
2,discussed to report the case the was hearing a recent Senate committee clarified which it was face that not putting them actor the could time prison companions his jet his required as quarantine days 10 arrival fine a canine private law maximum dol 340,000 smuggling 
2,Tell Morning The returned when actor the Men Dead Tales No Sydney reports Herald continue to threatened that filming installment the Joyce Agriculture put to latest Pirates the Minister Barnaby down terriers Depp discovering brought they franchise the Yorkshire were illegally country the Caribbean April 21 
4,said actor The is offered to 51-year-old filming which have pay to he is currently care bat the rescued after medical it was Clinic the The Australian Bat 
4,said actor The is offered to 51-year-old filming which have pay to he is currently Australia care bat the rescued after medical it was Clinic the The Australian Bat 
5,be doghouse the star the could still authorities Australian 
5,confirmed officials Government face Pirates the actor The Caribbean could up years 10 prison fine a maximum Adol 340,000 bringing illegally dogs his month earlier two Boo Pistol this 
5,put minister country The down gave him agriculture threatened Joyce Barnaby deadline a leave to had have to two-day dogs the terriers actor the two Yorkshire 
5,Depp wife his were Heard Amber Caribbean The Tell Men Dead Tales No 
