0,build Kea Mauna to telescope a giant 
0,said has project The Ige Tuesday right the failed Hawaii build to move to has mountain the telescope a forward ways many giant summit the Kea 
0,has telescope a right the failed Hawaii said Ige Gov. giant summit the move to has mountain the Tuesday David Kea Mauna forward ways many 
1,build Kea Mauna to telescope a giant 
1,said has project The Ige Tuesday right the failed Hawaii build to move to has mountain the telescope a forward ways many giant summit the Kea 
1,said has Photo_Jennifer AP Ige Gov. David Tuesday HONOLULU The AP right the failed Hawaii Kelleher Sinco Associated Press Share Photo ✉ project A Kea move to has mountain the build to forward ways many telescope a giant summit the 
1,held vowed Ige sacred Hawaiians Native also changes that there will be major stewardship Kea 
2,Responds Mauna Ku Plan Gov May 26 Mauna 6:52 Kiai Mauna Kea 2015 pm PDT Ku Kiai 
2,bending group The is not light proposals governor the promise his Ku Kia’i support to enforce right TMT proceed to construction 
2,disapointed individuals the We are obviously statement the taken who given Ige David have stand a Wākea Mauna however conference todayʻs a days the press past 61 
2,Wākea Mauna a 
2,begins this like We stopping development any would also see to desecration Wakea Mauna further accept state the a do responsibility itʻs to job a now better 
2,acknowledged Ige essentially are that contradictory therefore there flaws EIS the CIA no it would be support for current him to development any Wākea a further 
2,support We also call we do not at all establishment the Hawaiʻi the boycott council this proposed council yet lāhui advisory another advisory future the Wākea a 
2,is There already council an advisory seems Wākea a fall to Office the ears deaf Management Mauna advice their Kea 
2,been Furthermore % 90 over have we testimony public has opposition construction the issue this reason no TMT the believe to Wākea a hold that voices the beliefs would or should weight any then those shared already council an more community our advisory 
2,is thought The has that TMT the dominating expressed Igeʻs David right every today statement proceed to desecration the further Wākea a construction the telescope their 
2,take shown Because made clear conference today _s we will responsibility this hands our state the has ability no desire protect to cancel that own Hawaiʻi lands our resources natural culture values people the they will not lease the sacred allows that destruction further but rather support construction the Kea TMT the 
2,Let known it be protest that we will forever building the Wākea a ʻāina the TMT the very last aloha 
3,build Kea Mauna telescope that 
3,said governor The essentially failed we Kea 
3,willing felt GOV -37:15 37:08 feels it responded governor the wrong entirely place is need we Hawaiians Native were arrested being It plan a correct to a special treat to drive to wrong that it place a home that special message 
5,Responds Plan Gov University President Hawaii Hawaii HONOLULU Mauna Kea May 26 conference Ige Governor stewardship future Kea Mauna 2015 press laid which David he out vision his 
5,critical governor The was management state the responsibility a Kea falls which Office university the agreement the Management Mauna Mauna Kea lease Department the Kea Resources Land Natural 
5,read Lassner statement this reporters today appreciates university The deeply commitment governor the care improved strong Kea 
