0,told understand They Amaro fans eager see to do n_t game the prospects roster the big-league 
0,began caused Obviously Amaro it _s bit a firestorm a 
0,understand I passion the knowledge the have that fans our game our sports the sports all other major the other 
0,thought taken it had We said he was out context story where discussion a unfortunate it take if -LSB- CSNPhilly.com the -RSB- it was you out quote the of 
0,intended Twitter policy @ryanlawrence21 comments are conversations to Comment be civil friendly 
0,Please note monitored that comments are staff 
1,told criticized Already Amaro fans eager see to rebuild club the finishes consecutive 73-89 
1,said understand They Amaro to do n_t game the 
2,opined Jr. Ruben know that anyone thinks who Amaro asked when might not much development player served Nola segment a Eflin would be best rotation the weeks six small populace Phillies the is that big-league Reading fan hurry a see to big pitching Double-A pitch Nola prospects Eflin Zach majors the Aaron also-ran an reason some 
2,said caused Obviously Amaro it _s bit a firestorm a 
2,understand I passion the knowledge the have that fans our game our sports the sports all other major the other 
3,understand chose He said Amaro complain have because has Do n_t game the process the then bitch words his poorly he use did told when we do n_t plan a not enough them he Salisbury Jim fans 
3,policy Comment intended comments are conversations to be civil friendly 
3,Please note monitored that comments are staff 
4,wants May 26 Jr. know you 2015 apologizes Amaro complain fans too to sorry that fans Phillies saying bitch they Amaro general much Staff Phillies he is not done what manager Ruben he _s team the charge called what years his he quotes misguided seven 
4,met then matchup the offered apology a Phillies Amaro media the Mets the fans any long-winded Field Citi offended he may have 
4,began highlights has Lawrence Ryan Amaro Tuesday afternoon some caused Obviously transcript the are here News The it _s bit a full Daily firestorm a 
4,have Philly that fans our game our sports the sports all other major the other 
5,opined Jr. Ruben know that anyone thinks who Amaro asked when might not much development player served Nola segment a Eflin would be best rotation the weeks six small populace Phillies the is that big-league Reading fan hurry a see to big pitching Double-A pitch Nola prospects Eflin Zach majors the Aaron also-ran an reason some 
5,said caused Obviously Amaro it _s bit a firestorm a 
5,understand I passion the knowledge the have that fans our game our sports the sports all other major the other 
