0,allows Church England bishops female leave members World Church the break a News | IOL News | IOL.co.za Reuters Two clergy the Synod England-s lunch session the approved which later consecration the York bishops women 
0,Picture London Nigel ended Church The one disputes its Roddis Monday vote an favour allowing women longest divisive most overwhelming bishops to become 
0,represents Church The groups diverse religious supporters marriage gay evangelicals conservative 
0,told Welby BBC the expects he bishop the first year next woman Church the 
0,established Church The was VIII King Henry appointed who himself head its 1534 
0,part Church The is Communion the global Anglican members million 77 countries 160 than more 
1,Church England 
1,voted But debate a five-hour Synod the body the overwhelmingly favour plan an Monday General governing Church the amended meeting its city the northern English York 
1,said moment This Clegg Deputy Prime is a watershed Church the forward making fairer society our Minister Nick 
1,said committed concerned While Killwick Simon opposed which chairman Group Synod the we remain working all Church the we are deeply consequences the move the Catholic further to unity the mission the nation the wider Church the Church the whole 
2,bishops Women Church Comment Voices Independent The speeches It probably was n-t the day the changed that minds 
2,promised Thus evangelicals the conservative were remained that Church the committed enabling flourish them told while to life its bishops future were receive that structures women they would respect due obedience canonical 
2,noteworthy fact achieved what here is Church the 
3,bishops Women Church Synod General News Home Independent The votes yes UK were There scenes jubilation won as threatened whilst Archbishop Canterbury majority an package his staving off intervene to Welby Justin overwhelming measures designed win to crisis a Parliament support the traditionalists 
3,place However vote the will obstacle another churches the way the Catholic Orthodox Church the relations 
4,found Church The has unity terms its ordained Telegraph passed decades two than More England own priests its howls protest acrimony have Church the first women England 
4,argue Some Church the will was that critics vote a overdue years bishops women 
5,agreed Church the have Anglicans Conservative has finally appoint to England priests women bishops women sights their decades dispute heated 
5,foresee Observers do not problems any so likely it is now highly consecrated that women one more will be bishops year early next 
6,approves Church England bishops women YORK KINGDOM UNITED overcame Church The divisions bitter vote to England favour allowing bishops female time the first history its 500-year nearly 
6,erupted Cheers hall the Church the Moday passed as Synod General England York measure the northern 
6,church Church The is the mother Communion the global Anglican followed people million some countries over 80 165 
6,opposed principle The had been strongly conservatives Church the appointing bishops women 
6,told Ineson Emma principal college a had earlier hall the dismayed how theological Bristol England students her had been confused discouraged 2012 the female vote no 
6,ordained priests Women were first 1994 debating Church the has been allowed whether they should be bishops to be earnest 2000 
7,view How Episcopalians American Church vote 
7,broke video + allow CSMonitor.com voted When women it another stained ceiling glass to ordained become as bishops Church the Monday to 
7,one Indeed Church the church the is oldest the break to mostly-symbolic mother community an conservative most traditions Christian officially full requirement the 80-million-member global Anglican includes that long-held clergy an Episcopalians million 2.1 all-male American 
