1,closed Kaymer 69 a 1-under break player the to par victory an only groups the challenged who eight-shot Fowler Rickie Compton transplant the last eight remotely even German the player the two-time heart recipient 29-year-old only 
1,said catching one No earned who trip a was Kaymer week this Masters the April next 
1,birdied hole the got shots four took until followed Kaymer eighth he bogey par-3 the group the feet 4 ninth last 8-iron an birdie 
2,finished Compton Fowler Rickie 72 runners-up joint one-under players were 72 the only two other finish to par tournament a dominated world former Kaymer No finish to 1 start 
2,finished Click D Compton -1 tied fourth Johnson Stenson +1 Swe here collated 67 B +1 Koepka +1 E R -1 one-over H 68 71 Johnson scores 73 Bradley Fowler Keegan Bradley Jason Day Brooks Koepka Dustin Stenson Henrik 73 +1 K Day +1 Aus J 
2,reduced lead Kaymer was temporarily four bogeyed when made birdie close that overnight shots five he seventh the eight was as got as anyone 
2,extended birdie A lead his shots six bogeyed after turned bogey a Kaymer ninth the turn the had hole the nine the lap a six 10th the same back victory 
3,was making those story Compton the far up numbers the remarkable most 
3,worthy tie His would be credit immense even battles the second Fowler Rickie personal endured which Compton inspirational has get to point this 
3,lost story has not been those him 
4,finished He 271 9-under overall managed guys two only get to winning other red the Compton Fowler Rickie tied second nowhere close 
4,said knew I heart-transplant a two-time playing we recipient drew who were second some cheers the loudest week the 
4,inspiring was 
4,has plenty look to forward to performance the best career his 
4,transformed removed years Six himself in words the golfer a event that mother his transplants two transplant not plays who traumatic a recipient golf 
4,said go I was where able now I ago years a I -m play to few championships major 
4,felt finishing tie a good victory a pulled when especially second he off shot a bunker a salvage to remarkable 18th the par 
5,fights finish runner-up golf PINEHURST ESPN N.C. Open 114th come Compton Erik U.S. had far too surrender to course a golf spent that weekend the beating up players the best world the 
5,Enlarge + -LSB- ImagesThe Mike Ehrmann-Getty provided game the -RSB- blowout top leaderboard the drama the Sunday U.S. the Open finished as game the was a real Compton tied second clinching trip his Masters the first 
5,call competitor fellow Stenson Henrik would shot bunker this nastiest the 155-foot game the distance an in-between reduce that can pro a hacker a sorry weekend 
5,wanted But end the victory Kaymer Martin place second much as runaway score a wanted as numbers red he pull to off victory an start the upset ages the round the 
5,waved cap his fans the slapped hand Stenson went then black extended business the nailing down par his 
5,about undergoing surgeries two traveling road a all Compton was n-t miss to Open U.S. a heart transplant America North long mini-tours putt give that would him tie a place second score a invitation an 279 1-under Masters spring next -s 
5,said hit I shot world the green the got then worst up down 
5,said think I showed I world the today capable that I -m playing golf good pressure extreme heat 
