0,said Ausmus manager looked Verlander good real Brad game the simulated 
0,said imagine feel If I _d step start a he does right all would be the next rehab Wednesday 
1,said Ausmus manager looked Verlander good real Brad game the simulated 
1,said imagine feel If I _d step start a he does right all would be the next rehab Wednesday 
3,said wanted We Ausmus manager Brad make to it game-like close to could as we 
3,said Ausmus looked He good really 
4,said anxious I Ausmus manager Brad _m actually not 
4,said thought I looked he good really 
4,turned gun stadium The was n_t on game the said impressed he radar Coliseum O.co simulated was finish the fastball Verlander 
4,said looked And break the good really balls his they both breaking 
5,said know I Ausmus Brad team it _s a good 
5,said homestand won If Sunday it might have been a decent we had today 
