0,included winners Other mini-series two FX big 
0,have instance format the exact casts series close-ended claimed both same plans seasons additional host a different nominations categories separate mini-series series drama canceled when they could have other each out gone had they head head to 
1,http:--www.smh.com.au-action-externalEmbeddedPlayer?id=d-3bqna PT0M59S 349 620 July 11 AM 7:15 2014 pushed Critically Detective acclaimed have way their top the Girls where dramas True pole the was Emmy totem 
1,Photo HBO qualifies fashion a Fargo FX technically drama both has for reason the similar drama a miniseries a same elected submit to latter the landing category the likely where outstanding miniseries heat the is less burn to competitive 
1,Story There is up American Horror Coven Bonnie Clyde Luther Treme Queen The White 
1,Thornton Billy Bob Malvo Lorne scene a 
1,hit drama The schedule the US sliced off program is rookie one which nominations 18 the second nominated most became the most itself talked series new breakout a 
2,titled The self-evidently Story American hopefuls Coven Horror riff a are provocative miniseries awards the film the August black comedy name the same 
3,garnered included nominees Other nominations 18 Story American pair a top Horror has Coven miniseries ambitious 17 
3,compete category the Story American Horror riff a will Bonnie Clyde miniseries Coven movie the Luther Treme Queen The 1996 name the White same 
5,uses created wording the affected is therefore television by not way the same 
6,notched cross-over another mini-series the movie the up nominations 18 film cult brothers the starring Thornton Billy best nods actor mini-series a Coen Bob Freeman Martin men those two 
