1.txt,5,5,5,5,5,5,5,5,5,25,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30
3.txt,10.5,11,11.5,12,12.5,13,13.5,14,14.5,115.5,121,126.5,132,137.5,143,148.5,154,159.5,84,88,92,96,100,104,108,112,116
4.txt,22.1,22.2,22.3,22.4,22.5,22.6,22.7,22.8,22.9,176.8,177.6,178.4,179.2,180,180.8,181.6,182.4,183.2,198.9,199.8,200.7,201.6,202.5,203.4,204.3,205.2,206.1
8.txt,2.4,2.8,3.2,3.6,4,4.4,4.8,5.2,5.6,14.4,16.8,19.2,21.6,24,26.4,28.8,31.2,33.6,12,14,16,18,20,22,24,26,28
10.txt,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
11.txt,10.5,11,11.5,12,12.5,13,13.5,14,14.5,94.5,99,103.5,108,112.5,117,121.5,126,130.5,84,88,92,96,100,104,108,112,116
13.txt,9.3,9.6,9.9,10.2,10.5,10.8,11.1,11.4,11.7,83.7,86.4,89.1,91.8,94.5,97.2,99.9,102.6,105.3,83.7,86.4,89.1,91.8,94.5,97.2,99.9,102.6,105.3
16.txt,7,7,7,7,7,7,7,7,7,56,56,56,56,56,56,56,56,56,77,77,77,77,77,77,77,77,77
17.txt,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,72.9,73.8,74.7,75.6,76.5,77.4,78.3,79.2,80.1,81,82,83,84,85,86,87,88,89
18.txt,4,4,4,4,4,4,4,4,4,32,32,32,32,32,32,32,32,32,44,44,44,44,44,44,44,44,44
19.txt,33.1,33.2,33.3,33.4,33.5,33.6,33.7,33.8,33.9,231.7,232.4,233.1,233.8,234.5,235.2,235.9,236.6,237.3,264.8,265.6,266.4,267.2,268,268.8,269.6,270.4,271.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,115.5,121,126.5,132,137.5,143,148.5,154,159.5,イベント,,,,,,,,,,,,,,,,,
18.txt,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,,,,,
8.txt,14.4,16.8,19.2,21.6,24,26.4,28.8,31.2,33.6,,,,,,,,,,,,,,,,,,
17.txt,72.9,73.8,74.7,75.6,76.5,77.4,78.3,79.2,80.1,,,,,,,,,,,,,,,,,,
11.txt,94.5,99,103.5,108,112.5,117,121.5,126,130.5,,,,,,,,,,,,,,,,,,
4.txt,176.8,177.6,178.4,179.2,180,180.8,181.6,182.4,183.2,,,,,,,,,,,,,,,,,,
13.txt,83.7,86.4,89.1,91.8,94.5,97.2,99.9,102.6,105.3,,,,,,,,,,,,,,,,,,
10.txt,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,
1.txt,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,,,,,,
16.txt,56,56,56,56,56,56,56,56,56,,,,,,,,,,,,,,,,,,
19.txt,231.7,232.4,233.1,233.8,234.5,235.2,235.9,236.6,237.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.txt,84,88,92,96,100,104,108,112,116,元記事,,,,,,,,,,,,,,,,,
18.txt,44,44,44,44,44,44,44,44,44,,,,,,,,,,,,,,,,,,
8.txt,12,14,16,18,20,22,24,26,28,,,,,,,,,,,,,,,,,,
17.txt,81,82,83,84,85,86,87,88,89,,,,,,,,,,,,,,,,,,
11.txt,84,88,92,96,100,104,108,112,116,,,,,,,,,,,,,,,,,,
4.txt,198.9,199.8,200.7,201.6,202.5,203.4,204.3,205.2,206.1,,,,,,,,,,,,,,,,,,
13.txt,83.7,86.4,89.1,91.8,94.5,97.2,99.9,102.6,105.3,,,,,,,,,,,,,,,,,,
10.txt,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,
1.txt,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,
16.txt,77,77,77,77,77,77,77,77,77,,,,,,,,,,,,,,,,,,
19.txt,264.8,265.6,266.4,267.2,268,268.8,269.6,270.4,271.2,,,,,,,,,,,,,,,,,,
