2.txt,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,,5,3
6.txt,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,,5,4
8.txt,8.4,8.8,9.2,9.6,10,10.4,10.8,11.2,11.6,,12,8
9.txt,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,,8,7
12.txt,8.4,8.8,9.2,9.6,10,10.4,10.8,11.2,11.6,,12,8
13.txt,12.8,12.6,12.4,12.2,12,11.8,11.6,11.4,11.2,,11,13
17.txt,6,6,6,6,6,6,6,6,6,,6,6
18.txt,16.6,16.2,15.8,15.4,15,14.6,14.2,13.8,13.4,,13,17
19.txt,8.3,8.6,8.9,9.2,9.5,9.8,10.1,10.4,10.7,,11,8
21.txt,11,11,11,11,11,11,11,11,11,,11,11
22.txt,9.9,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.1,,9,10
