6.txt,1.529382873,6.txt,0.994604008,6.txt,0.994604008,6.txt,0.994604008,6.txt,1.06359688,6.txt,1.128135401,6.txt,1.128135401,6.txt,1.128135401,6.txt,1.710224045
9.txt,-7.448315421,9.txt,-8.396446759,9.txt,-8.907272382,9.txt,-9.705780079,9.txt,-9.600419563,9.txt,-9.446268883,9.txt,-10.36255961,9.txt,-11.14531895,9.txt,-11.03550409
12.txt,-13.70064827,12.txt,-13.68369872,12.txt,-14.64877961,12.txt,-14.83110117,12.txt,-14.32027555,12.txt,-13.87844279,12.txt,-14.2839079,12.txt,-14.2839079,12.txt,-13.65529924
14.txt,-4.50814281,14.txt,-5.484445024,14.txt,-6.337019942,14.txt,-7.001996245,14.txt,-6.596531137,14.txt,-6.191066029,14.txt,-7.009964415,14.txt,-7.975045311,14.txt,-8.493839105
15.txt,-11.62657412,15.txt,-11.60962456,15.txt,-11.60962456,15.txt,-11.60962456,15.txt,-11.50426405,15.txt,-11.35011337,15.txt,-11.35011337,15.txt,-11.35011337,15.txt,-10.72150471
19.txt,-9.947433854,19.txt,-10.36720195,19.txt,-10.36720195,19.txt,-12.13079054,19.txt,-11.61996492,19.txt,-11.46581424,19.txt,-12.86453112,19.txt,-12.86453112,19.txt,-12.23592246
21.txt,-4.17790577,21.txt,-5.372943688,21.txt,-6.459133457,21.txt,-8.117361533,21.txt,-7.60653591,21.txt,-7.046920122,21.txt,-8.088373996,21.txt,-9.341136965,21.txt,-9.08674087
25.txt,10.79274422,25.txt,9.958272199,25.txt,8.142555407,25.txt,5.709115197,25.txt,5.826898233,25.txt,6.491874536,25.txt,5.07815774,25.txt,2.093554878,25.txt,2.00084548
26.txt,5.243235804,26.txt,3.601957286,26.txt,2.813878785,26.txt,1.23261175,26.txt,-0.619556847,26.txt,-0.91169327,26.txt,-2.555532609,26.txt,-3.808295578,26.txt,-5.79788079
28.txt,-2.763999992,28.txt,-4.087155412,28.txt,-4.789872044,28.txt,-5.457701416,28.txt,-4.946875793,28.txt,-5.603655329,28.txt,-6.519946061,28.txt,-7.030771685,28.txt,-6.912988649
29.txt,-7.772765217,29.txt,-9.422011905,29.txt,-9.534765593,29.txt,-9.534765593,29.txt,-10.03120248,29.txt,-10.24477658,29.txt,-10.39892726,29.txt,-10.80439237,29.txt,-11.4409692
33.txt,11.08671143,33.txt,8.292737915,33.txt,7.226440528,33.txt,6.291835477,33.txt,5.131427584,33.txt,5.362539305,33.txt,3.586528192,33.txt,1.93403079,33.txt,2.597017789
36.txt,10.89630052,36.txt,7.851757865,36.txt,5.299905691,36.txt,4.506096515,36.txt,4.138371735,36.txt,4.187161899,36.txt,3.927650704,36.txt,3.41682508,36.txt,2.723677899
37.txt,-2.104018709,37.txt,-3.324419841,37.txt,-3.717462429,37.txt,-4.228288053,37.txt,-4.797339843,37.txt,-4.643189163,37.txt,-5.30648338,37.txt,-6.697396687,37.txt,-6.227711987
38.txt,0.304038632,38.txt,-1.44119886,38.txt,-1.44119886,38.txt,-2.114927955,38.txt,-2.068407939,38.txt,-1.891784404,38.txt,-1.891784404,38.txt,-1.891784404,38.txt,-2.140726648
41.txt,-0.731032045,41.txt,-1.072191808,41.txt,-2.815161113,41.txt,-2.815161113,41.txt,-3.269416385,41.txt,-2.932944149,41.txt,-3.492559937,41.txt,-4.126866617,41.txt,-4.62812279
42.txt,-8.242065627,42.txt,-8.225116069,42.txt,-8.342899104,42.txt,-8.342899104,42.txt,-7.82761913,42.txt,-7.373363858,42.txt,-7.373363858,42.txt,-7.709836095,42.txt,-7.592053059
